rm,fsz,tipus,napelemszam,mfbMuszak,nettoListaar,mfbAR,tuzeseti,szezonalis
2.52,1,Fronius Primo 3.0-1,8,Igen,1787109,Nem,0,5
2.835,1,Fronius Primo 3.0-1,9,Igen,1876554,Nem,0,5
3.15,1,Fronius Primo 3.0-1,10,Igen,1932299,Nem,0,5
3.465,1,Fronius Primo 3.0-1,11,Igen,2110370,Nem,0,5
3.15,1,Fronius Primo 3.5-1,10,Igen,1952189,Nem,0,5
3.465,1,Fronius Primo 3.5-1,11,Igen,2130260,Nem,0,5
3.78,1,Fronius Primo 3.5-1,12,Igen,2186004,Igen,0,5
4.095,1,Fronius Primo 3.5-1,13,Igen,2270285,Igen,0,5
3.15,1,Fronius Primo 3.6-1,10,Igen,1955504,Nem,0,5
3.465,1,Fronius Primo 3.6-1,11,Igen,2133575,Nem,0,5
3.78,1,Fronius Primo 3.6-1,12,Igen,2189319,Igen,0,5
4.095,1,Fronius Primo 3.6-1,13,Igen,2273600,Igen,0,5
4.41,1,Fronius Primo 3.6-1,14,Igen,2329344,Igen,0,5
3.465,1,Fronius Primo 4.0-1,11,Igen,2153465,Nem,0,5
3.78,1,Fronius Primo 4.0-1,12,Igen,2209209,Igen,0,5
4.095,1,Fronius Primo 4.0-1,13,Igen,2293490,Igen,0,5
4.41,1,Fronius Primo 4.0-1,14,Igen,2349234,Igen,0,5
4.725,1,Fronius Primo 4.0-1,15,Igen,2484275,Igen,0,5
4.095,1,Fronius Primo 4.6-1,13,Igen,2321115,Igen,0,5
4.41,1,Fronius Primo 4.6-1,14,Igen,2376859,Igen,0,5
4.725,1,Fronius Primo 4.6-1,15,Igen,2511900,Igen,0,5
5.04,1,Fronius Primo 4.6-1,16,Igen,2567645,Igen,0,5
5.355,1,Fronius Primo 4.6-1,17,Igen,2691818,Igen,0,5
5.67,1,Fronius Primo 4.6-1,18,Nem,2747562,Igen,0,5
4.41,1,Fronius Primo 5.0-1,14,Igen,2393434,Igen,0,5
4.725,1,Fronius Primo 5.0-1,15,Igen,2528475,Igen,0,5
5.04,1,Fronius Primo 5.0-1,16,Igen,2584220,Igen,0,5
5.355,1,Fronius Primo 5.0-1,17,Igen,2708393,Igen,0,5
5.67,1,Fronius Primo 5.0-1,18,Igen,2764137,Igen,0,5
5.985,1,Fronius Primo 5.0-1,19,Igen,2914465,Igen,0,5
2.52,3,Fronius Symo 3.0-3-M,8,Igen,1867179,Nem,0,5
2.835,3,Fronius Symo 3.0-3-M,9,Igen,1956624,Nem,0,5
3.15,3,Fronius Symo 3.0-3-M,10,Igen,2012369,Nem,0,5
3.465,3,Fronius Symo 3.0-3-M,11,Igen,2190440,Nem,0,5
3.15,3,Fronius Symo 3.7-3-M,10,Igen,2057121,Nem,0,5
3.465,3,Fronius Symo 3.7-3-M,11,Igen,2235192,Nem,0,5
3.78,3,Fronius Symo 3.7-3-M,12,Igen,2290936,Nem,0,5
4.095,3,Fronius Symo 3.7-3-M,13,Igen,2375217,Igen,0,5
4.41,3,Fronius Symo 3.7-3-M,14,Igen,2430962,Igen,0,5
3.78,3,Fronius Symo 4.5-3-M,12,Igen,2317456,Nem,0,5
4.095,3,Fronius Symo 4.5-3-M,13,Igen,2401737,Igen,0,5
4.41,3,Fronius Symo 4.5-3-M,14,Igen,2457482,Igen,0,5
4.725,3,Fronius Symo 4.5-3-M,15,Igen,2592523,Igen,0,5
5.04,3,Fronius Symo 4.5-3-M,16,Igen,2648267,Igen,0,5
5.355,3,Fronius Symo 4.5-3-M,17,Igen,2772440,Igen,0,5
4.41,3,Fronius Symo 5.0-3-M,14,Igen,2466874,Igen,0,5
4.725,3,Fronius Symo 5.0-3-M,15,Igen,2601915,Igen,0,5
5.04,3,Fronius Symo 5.0-3-M,16,Igen,2657660,Igen,0,5
5.355,3,Fronius Symo 5.0-3-M,17,Igen,2781833,Igen,0,5
5.67,3,Fronius Symo 5.0-3-M,18,Igen,2837577,Igen,0,5
5.985,3,Fronius Symo 5.0-3-M,19,Igen,2987905,Igen,0,5
5.04,3,Fronius Symo 6.0-3-M,16,Igen,2668710,Igen,0,5
5.355,3,Fronius Symo 6.0-3-M,17,Igen,2792883,Igen,0,5
5.67,3,Fronius Symo 6.0-3-M,18,Igen,2848627,Igen,0,5
5.985,3,Fronius Symo 6.0-3-M,19,Igen,2998955,Igen,0,5
6.3,3,Fronius Symo 6.0-3-M,20,Igen,3054700,Igen,0,5
6.615,3,Fronius Symo 6.0-3-M,21,Igen,3179492,Igen,0,5
6.93,3,Fronius Symo 6.0-3-M,22,Igen,3235236,Igen,0,5
7.245,3,Fronius Symo 6.0-3-M,23,Nem,3328295,Igen,0,5
5.985,3,Fronius Symo 7.0-3-M,19,Igen,3131003,Igen,0,5
6.3,3,Fronius Symo 7.0-3-M,20,Igen,3186747,Igen,0,5
6.615,3,Fronius Symo 7.0-3-M,21,Igen,3311540,Igen,0,5
6.93,3,Fronius Symo 7.0-3-M,22,Igen,3367284,Igen,0,5
7.245,3,Fronius Symo 7.0-3-M,23,Igen,3460342,Igen,0,5
7.56,3,Fronius Symo 7.0-3-M,24,Igen,3516087,Igen,0,5
7.875,3,Fronius Symo 7.0-3-M,25,Igen,3671494,Igen,0,5
8.19,3,Fronius Symo 7.0-3-M,26,Igen,3727238,Igen,0,5
8.505,3,Fronius Symo 7.0-3-M,27,Nem,3842524,Igen,0,5
6.93,3,Fronius Symo 8.2-3-M,22,Igen,3440214,Igen,0,5
7.245,3,Fronius Symo 8.2-3-M,23,Igen,3533272,Igen,0,5
7.56,3,Fronius Symo 8.2-3-M,24,Igen,3589017,Igen,0,5
7.875,3,Fronius Symo 8.2-3-M,25,Igen,3744424,Igen,0,5
8.19,3,Fronius Symo 8.2-3-M,26,Igen,3800168,Igen,0,5
8.505,3,Fronius Symo 8.2-3-M,27,Igen,3915454,Igen,0,5
8.82,3,Fronius Symo 8.2-3-M,28,Igen,3971198,Igen,0,5
9.135,3,Fronius Symo 8.2-3-M,29,Igen,4064921,Igen,0,5
9.45,3,Fronius Symo 8.2-3-M,30,Igen,4120665,Igen,0,5
9.765,3,Fronius Symo 8.2-3-M,31,Igen,4351294,Igen,0,5
10.08,3,Fronius Symo 8.2-3-M,32,Nem,4407038,Igen,0,5
8.505,3,Fronius Symo 10.0-3-M,27,Igen,3948604,Igen,0,5
8.82,3,Fronius Symo 10.0-3-M,28,Igen,4004348,Igen,0,5
9.135,3,Fronius Symo 10.0-3-M,29,Igen,4098071,Igen,0,5
9.45,3,Fronius Symo 10.0-3-M,30,Igen,4153815,Igen,0,5
9.765,3,Fronius Symo 10.0-3-M,31,Igen,4384444,Igen,0,5
10.08,3,Fronius Symo 10.0-3-M,32,Igen,4440188,Igen,0,5
10.395,3,Fronius Symo 10.0-3-M,33,Igen,4606133,Igen,0,5
10.71,3,Fronius Symo 10.0-3-M,34,Igen,4661877,Igen,0,5
11.025,3,Fronius Symo 10.0-3-M,35,Igen,4842531,Igen,0,5
11.34,3,Fronius Symo 10.0-3-M,36,Igen,4898275,Igen,0,5
11.655,3,Fronius Symo 10.0-3-M,37,Igen,5005230,Igen,0,5
