rm,fsz,tipus,napelemszam,mfbMuszak,nettoListaar,mfbAR,tuzeseti,szezonalis
1.18,1,Growatt 1500-S,4,Nem,1120374,Nem,0,5
1.475,1,Growatt 1500-S,5,Igen,1257994,Nem,0,5
1.77,1,Growatt 1500-S,6,Igen,1301069,Nem,0,5
1.77,1,Growatt 2000-S,6,Igen,1330255,Nem,0,5
2.065,1,Growatt 2000-S,7,Igen,1405793,Nem,0,5
2.36,1,Growatt 3000-S,8,Nem,1479594,Nem,0,5
2.655,1,Growatt 3000-S,9,Igen,1556965,Igen,0,5
2.95,1,Growatt 3000-S,10,Igen,1600040,Igen,0,5
3.245,1,Growatt 3000-S,11,Igen,1767600,Igen,0,5
2.36,1,Growatt 2500 MTL-S,8,Igen,1553575,Nem,0,5
2.655,1,Growatt 2500 MTL-S,9,Igen,1630946,Nem,0,5
2.95,1,Growatt 2500 MTL-S,10,Igen,1674021,Igen,0,5
3.245,1,Growatt 2500 MTL-S,11,Nem,1841581,Igen,0,5
2.36,1,Growatt 3000 MTL-S,8,Nem,1569494,Nem,0,5
2.655,1,Growatt 3000 MTL-S,9,Igen,1646865,Nem,0,5
2.95,1,Growatt 3000 MTL-S,10,Igen,1689940,Igen,0,5
2.95,1,Growatt 3600 MTL-S,10,Igen,1721778,Igen,0,5
3.245,1,Growatt 3600 MTL-S,11,Igen,1889339,Igen,0,5
3.54,1,Growatt 3600 MTL-S,12,Igen,1932414,Igen,0,5
2.95,1,Growatt 4200 MTL-S,10,Nem,1741677,Igen,0,5
3.245,1,Growatt 4200 MTL-S,11,Nem,1909238,Igen,0,5
3.54,1,Growatt 4200 MTL-S,12,Igen,1952313,Igen,0,5
3.835,1,Growatt 4200 MTL-S,13,Igen,2024428,Igen,0,5
4.13,1,Growatt 4200 MTL-S,14,Igen,2067503,Igen,0,5
2.95,1,Growatt 5000 MTL-S,10,Nem,1752876,Nem,0,5
3.245,1,Growatt 5000 MTL-S,11,Nem,1920436,Igen,0,5
3.54,1,Growatt 5000 MTL-S,12,Nem,1963512,Igen,0,5
3.835,1,Growatt 5000 MTL-S,13,Igen,2035627,Igen,0,5
4.13,1,Growatt 5000 MTL-S,14,Igen,2078702,Igen,0,5
4.425,1,Growatt 5000 MTL-S,15,Igen,2202473,Igen,0,5
4.72,1,Growatt 5000 MTL-S,16,Igen,2245548,Igen,0,5
5.015,1,Growatt 5000 MTL-S,17,Igen,2358260,Igen,0,5
2.95,1,Growatt 5500 MTL-S,10,Nem,1780797,Nem,0,5
3.245,1,Growatt 5500 MTL-S,11,Nem,1948358,Nem,0,5
3.54,1,Growatt 5500 MTL-S,12,Nem,1991433,Igen,0,5
3.835,1,Growatt 5500 MTL-S,13,Nem,2063548,Igen,0,5
4.13,1,Growatt 5500 MTL-S,14,Igen,2106623,Igen,0,5
4.425,1,Growatt 5500 MTL-S,15,Igen,2230395,Igen,0,5
4.72,1,Growatt 5500 MTL-S,16,Igen,2273470,Igen,0,5
5.015,1,Growatt 5500 MTL-S,17,Igen,2386181,Igen,0,5
5.31,1,Growatt 5500 MTL-S,18,Igen,2429256,Igen,0,5
5.605,1,Growatt 5500 MTL-S,19,Igen,2568585,Igen,0,5
4.72,3,Growatt 5000 TL3-S,16,Igen,2351891,Igen,0,5
5.015,3,Growatt 5000 TL3-S,17,Igen,2464602,Igen,0,5
5.31,3,Growatt 5000 TL3-S,18,Igen,2507677,Igen,0,5
