rm,fsz,tipus,napelemszam,mfbMuszak,nettoListaar,mfbAR,tuzeseti,szezonalis
2.36,1,SolarEdge SE3680H,8,Nem,1788525,Nem,0,5
2.655,1,SolarEdge SE3680H,9,Nem,1882772,Nem,0,5
2.95,1,SolarEdge SE3680H,10,Igen,1943472,Nem,0,5
3.245,1,SolarEdge SE3680H,11,Igen,2125302,Nem,0,5
3.54,1,SolarEdge SE3680H,12,Igen,2186002,Nem,0,5
3.835,1,SolarEdge SE3680H,13,Igen,2273466,Nem,0,5
4.13,1,SolarEdge SE3680H,14,Igen,2334166,Igen,0,5
2.95,1,SolarEdge SE4000H,10,Nem,1988614,Nem,0,5
3.245,1,SolarEdge SE4000H,11,Igen,2170444,Nem,0,5
3.54,1,SolarEdge SE4000H,12,Igen,2231144,Nem,0,5
3.835,1,SolarEdge SE4000H,13,Igen,2318607,Nem,0,5
4.13,1,SolarEdge SE4000H,14,Igen,2379307,Igen,0,5
4.425,1,SolarEdge SE4000H,15,Igen,2518614,Igen,0,5
4.72,1,SolarEdge SE4000H,16,Igen,2579314,Igen,0,5
3.54,1,SolarEdge SE5000H,12,Igen,2252765,Nem,0,5
3.835,1,SolarEdge SE5000H,13,Igen,2340229,Nem,0,5
4.13,1,SolarEdge SE5000H,14,Igen,2400929,Igen,0,5
4.425,1,SolarEdge SE5000H,15,Igen,2540235,Igen,0,5
4.72,1,SolarEdge SE5000H,16,Igen,2600935,Igen,0,5
5.015,1,SolarEdge SE5000H,17,Igen,2729502,Igen,0,5
5.31,1,SolarEdge SE5000H,18,Igen,2790202,Igen,0,5
4.13,3,SolarEdge SE5k,14,Igen,2535987,Nem,0,5
4.425,3,SolarEdge SE5k,15,Igen,2678046,Nem,0,5
4.72,3,SolarEdge SE5k,16,Igen,2697468,Igen,0,5
5.015,3,SolarEdge SE5k,17,Igen,2826034,Igen,0,5
5.31,3,SolarEdge SE5k,18,Igen,2886734,Igen,0,5
5.605,3,SolarEdge SE5k,19,Igen,3041148,Igen,0,5
5.9,3,SolarEdge SE5k,20,Igen,3101848,Igen,0,5
4.13,3,SolarEdge SE7k,14,Igen,2600066,Nem,0,5
4.425,3,SolarEdge SE7k,15,Igen,2742124,Nem,0,5
4.72,3,SolarEdge SE7k,16,Igen,2761547,Igen,0,5
5.015,3,SolarEdge SE7k,17,Igen,2890113,Igen,0,5
5.31,3,SolarEdge SE7k,18,Igen,2950813,Igen,0,5
5.605,3,SolarEdge SE7k,19,Igen,3105227,Igen,0,5
5.9,3,SolarEdge SE7k,20,Igen,3165927,Igen,0,5
6.195,3,SolarEdge SE7k,21,Igen,3295105,Igen,0,5
6.49,3,SolarEdge SE7k,22,Igen,3424283,Igen,0,5
6.785,3,SolarEdge SE7k,23,Igen,3553462,Igen,0,5
7.08,3,SolarEdge SE7k,24,Igen,3682640,Igen,0,5
7.375,3,SolarEdge SE7k,25,Igen,3811819,Igen,0,5
7.67,3,SolarEdge SE7k,26,Igen,3940997,Igen,0,5
7.965,3,SolarEdge SE7k,27,Igen,4070175,Igen,0,5
2.36,1,SolarEdge SE3680H,8,Nem,1788525,Nem,0,10
2.655,1,SolarEdge SE3680H,9,Nem,1882772,Nem,0,10
2.95,1,SolarEdge SE3680H,10,Igen,1943472,Nem,0,10
3.245,1,SolarEdge SE3680H,11,Igen,2125302,Nem,0,10
3.54,1,SolarEdge SE3680H,12,Igen,2186002,Igen,0,10
3.835,1,SolarEdge SE3680H,13,Igen,2273466,Igen,0,10
4.13,1,SolarEdge SE3680H,14,Igen,2334166,Igen,0,10
2.95,1,SolarEdge SE4000H,10,Nem,1988614,Nem,0,10
3.245,1,SolarEdge SE4000H,11,Igen,2170444,Nem,0,10
3.54,1,SolarEdge SE4000H,12,Igen,2231144,Nem,0,10
3.835,1,SolarEdge SE4000H,13,Igen,2318607,Igen,0,10
4.13,1,SolarEdge SE4000H,14,Igen,2379307,Igen,0,10
4.425,1,SolarEdge SE4000H,15,Igen,2518614,Igen,0,10
4.72,1,SolarEdge SE4000H,16,Igen,2579314,Igen,0,10
3.54,1,SolarEdge SE5000H,12,Igen,2252765,Nem,0,10
3.835,1,SolarEdge SE5000H,13,Igen,2340229,Igen,0,10
4.13,1,SolarEdge SE5000H,14,Igen,2400929,Igen,0,10
4.425,1,SolarEdge SE5000H,15,Igen,2540235,Igen,0,10
4.72,1,SolarEdge SE5000H,16,Igen,2600935,Igen,0,10
